cubeid,Date,Time,Probe,Probe serial,Probe verification,Operator,Device serial,Direction (Equotip),Material,Conversion Std.,Scale,Upper limit,Lower limit,Readings,Mean,Min,Max,Range,Std. dev.,hlcvalues,Hardness
DW-G4-S3,16/11/2022,15:52:31,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,pumaceousignimbrite,Default,HLC,528,498,10,528,456,605,149,455,reading7,509
DW-G4-S3,16/11/2022,15:52:31,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,pumaceousignimbrite,Default,HLC,528,498,10,528,456,605,149,455,reading8,605
DW-G4-S3,16/11/2022,15:52:31,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,pumaceousignimbrite,Default,HLC,528,498,10,528,456,605,149,455,reading9,532
DW-G4-S3,16/11/2022,15:52:31,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,pumaceousignimbrite,Default,HLC,528,498,10,528,456,605,149,455,reading10,562
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading1,907
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading2,920
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading3,920
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading4,888
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading5,921
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading6,925
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading7,925
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading8,789
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading9,932
KW-G1-S3,16/11/2022,15:50:56,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,glassyignimbrite,Default,HLC,528,498,10,907,789,938,149,412,reading10,938
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading1,591
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading2,609
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading3,690
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading4,671
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading5,654
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading6,741
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading7,718
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading8,707
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading9,651
MW6-G2-S3,16/11/2022,15:53:53,Equotip Leeb Impact Device C,IC51-004-0185,--,Paixao,UP01-003-1680,Automatic,ignimbrite,Default,HLC,528,498,10,672,591,741,149,445,reading10,685
